link,listed,address,price,bedrooms,bathrooms,area (m2),latitude,longitude
https://www.realestate.co.nz/42726436/residential/sale/50a-madras-street-khandallah,now,"50A Madras Street, Khandallah",Tender,3.0,1.0,,-41.2437856,174.7976946
https://www.realestate.co.nz/42726433/residential/sale/64-232-middleton-road-glenside,now,"64/232 Middleton Road, Glenside",Auction,1.0,1.0,,,
https://www.realestate.co.nz/42726406/residential/sale/63-232-middleton-road-glenside,now,"63/232 Middleton Road, Glenside",Auction,1.0,1.0,,,
https://www.realestate.co.nz/42726402/residential/sale/63-alexander-road-raumati-beach,now,"63 Alexander Road, Raumati Beach",Deadline Sale,4.0,1.0,809.0,,
https://www.realestate.co.nz/42726389/residential/sale/25-ohiro-road-aro-valley,now,"25 Ohiro Road, Aro Valley",Deadline Sale,2.0,1.0,143.0,,
https://www.realestate.co.nz/42726343/residential/sale/11a-stowe-hill-thorndon,now,"11A Stowe Hill, Thorndon",Tender,4.0,1.0,,,
https://www.realestate.co.nz/42726279/residential/sale/26-weggery-drive-waikanae-beach,1 hour ago,"26 Weggery Drive, Waikanae Beach",Auction,3.0,1.0,705.0,,
https://www.realestate.co.nz/42726241/residential/sale/24-hobson-street-thorndon,1 hour ago,"24 Hobson Street, Thorndon",Tender,1.0,1.0,,,
https://www.realestate.co.nz/42726218/residential/sale/12a-jacaranda-grove-maungaraki,1 hour ago,"12A Jacaranda Grove, Maungaraki",Deadline Sale,2.0,1.0,,,
https://www.realestate.co.nz/42726216/residential/sale/109-onepu-road-lyall-bay,1 hour ago,"109 Onepu Road, Lyall Bay","Buyer Enquiry Over $895,000",3.0,1.0,319.0,,
https://www.realestate.co.nz/42726209/residential/sale/9-bermer-road-belmont,1 hour ago,"9 Bermer Road, Belmont",Deadline Sale,3.0,1.0,,,
https://www.realestate.co.nz/42726189/residential/sale/39-sunrise-boulevard-tawa,2 hours ago,"39 Sunrise Boulevard, Tawa",Deadline Sale,4.0,2.0,771.0,,
https://www.realestate.co.nz/42726144/residential/sale/15-atarau-grove-paraparaumu,2 hours ago,"15 Atarau Grove, PARAPARAUMU",Deadline Sale,3.0,1.0,463.0,,
https://www.realestate.co.nz/42726128/residential/sale/lot-2-1-baxter-rise-aotea,2 hours ago,"Lot 2/ 1 Baxter Rise, AOTEA",Negotiation,,,,,
https://www.realestate.co.nz/42726114/residential/sale/101-waihora-crescent-waitangirua,2 hours ago,"101 Waihora Crescent, WAITANGIRUA",Deadline Sale,3.0,1.0,653.0,,
https://www.realestate.co.nz/42726111/residential/sale/9-chatsworth-road-silverstream,2 hours ago,"9 Chatsworth Road, Silverstream",Tender,3.0,2.0,1202.0,,
https://www.realestate.co.nz/42726104/residential/sale/29-mana-street-vogeltown,2 hours ago,"29 Mana Street, Vogeltown","Offers Over $1,195,000",3.0,1.0,270.0,,
https://www.realestate.co.nz/42726102/residential/sale/14-fiesta-grove-raumati-beach,2 hours ago,"14 Fiesta Grove, Raumati Beach",Deadline Sale,3.0,2.0,560.0,,
https://www.realestate.co.nz/42726024/residential/sale/219-middleton-road-churton-park,3 hours ago,"219 Middleton Road, Churton Park",Auction,2.0,1.0,787.0,,
https://www.realestate.co.nz/42726007/residential/sale/12-davis-grove-wainuiomata,3 hours ago,"12 Davis Grove, Wainuiomata",Auction,3.0,1.0,809.0,,
https://www.realestate.co.nz/42725940/residential/sale/6-rangiuru-road-otaki-beach,4 hours ago,"6 Rangiuru Road, Otaki Beach",Deadline Sale,2.0,1.0,582.0,,
https://www.realestate.co.nz/42725920/residential/sale/9-rawson-street-tawa,4 hours ago,"9 Rawson Street, Tawa",Deadline Sale,3.0,1.0,323.0,,
https://www.realestate.co.nz/42725881/residential/sale/5-tennyson-avenue-avalon,4 hours ago,"5 Tennyson Avenue, Avalon",Deadline Sale,5.0,2.0,893.0,,
https://www.realestate.co.nz/42725863/residential/sale/12-safari-crescent-johnsonville,4 hours ago,"12 Safari Crescent, Johnsonville",Auction,4.0,2.0,607.0,,
https://www.realestate.co.nz/42725840/residential/sale/5a-sequoia-place-maoribank,4 hours ago,"5A Sequoia Place, Maoribank","Buyer Enquiry Over $519,000",2.0,1.0,,,
https://www.realestate.co.nz/42725837/residential/sale/81a-forest-lakes-road-otaki,5 hours ago,"81A Forest Lakes Road, Otaki",Deadline Sale,6.0,3.0,60000.0,,
https://www.realestate.co.nz/42725775/residential/sale/56-tennis-court-road-raumati-south,5 hours ago,"56 Tennis Court Road, RAUMATI SOUTH",Deadline Sale,3.0,1.0,,,
https://www.realestate.co.nz/42725771/residential/sale/39-marewa-road-hataitai,5 hours ago,"39 Marewa Road, Hataitai",Deadline Sale,4.0,2.0,566.0,,
